title,company,location,how old,link
Data Business Analyst,Ci&T,Brasil,há 9 dias,https://br.indeed.com/rc/clk?jk=166dbdf5bf117b65&fccid=289d7ce11c250f70&vjs=3
"MTS 1, Integration Engineer",PayPal,"São Paulo, SP",há 2 dias,https://br.indeed.com/rc/clk?jk=4dff33307532b8a9&fccid=978d9fd9799d55a8&vjs=3
Programador(a) Fullstack – (Python & Javascript),Neoprospecta,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=42e47ab9cecffe43&fccid=2de99084204d5353&vjs=3
Back-End Developer - PYTHON,Inovation IT Premium Outsourcing,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ca4894cda82e274e&fccid=0965d38e7a0233ac&vjs=3
Programador Python (m/f),Elevus,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ad580e5e2028275b&fccid=8a4931b737884b7f&vjs=3
Estágio em Análise de Dados,Externa,"Niterói, RJ",há 18 dias,https://br.indeed.com/rc/clk?jk=e3e5b545a1ebc40a&fccid=86f856e08949f9e7&vjs=3
Engenheiro(a) de Dados Python,GeekHunter,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f85f045d415c9023&fccid=9ba8dec3013c0c90&vjs=3
PYTHON SR Ingles Avanzado,Py AR,"Zona Norte de São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=76b797c24837fa32&fccid=3f07a935dc8a14b0&vjs=3
Desenvolvedor Python/Big Data (Backend),Job Boards,"Salvador, BA",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f1f8d5c94c3fd557&fccid=56879fb77e76baab&vjs=3
Analista de dados Pleno,Petz,"São Paulo, SP",há 4 dias,https://br.indeed.com/rc/clk?jk=74108723df930a27&fccid=e2993fafd3586756&vjs=3
Programador,Cozimax,"Luziânia, GO",há 11 dias,https://br.indeed.com/rc/clk?jk=0287109750fd5c5b&fccid=9892f709db469b78&vjs=3
Analista de Qualidade e Automação,Mercado Bitcoin,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=14fe49f0f3048394&fccid=9283371e84986535&vjs=3
Global Data - Funds Analyst,Bloomberg,"São Paulo, SP",há 2 dias,https://br.indeed.com/rc/clk?jk=56d9443962f26afc&fccid=f770da67b3b51c62&vjs=3
Senior Snowflake Data Engineer,Blue Orange Digital,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/company/Blue-Orange-Digital/jobs/Senior-Snowflake-Data-Engineer-d6103731a0cbbe5b?fccid=520d66e09adbdba5&vjs=3
Desenvolvedor(a) Back-end Python pleno,GeekHunter,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=0521da6447517e64&fccid=9ba8dec3013c0c90&vjs=3
Pricing Specialist,99,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1517c9d4e4d5e36f&fccid=7c874ded2b2c6886&vjs=3
Desenvolvedor(a) Back-end Python (remoto),GeekHunter,Brasil,há 20 dias,https://br.indeed.com/rc/clk?jk=9b9de444d20c3e14&fccid=9ba8dec3013c0c90&vjs=3
Analista Financeiro Júnior,Oi,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f0642138fc6111cb&fccid=22a70571ee2c610b&vjs=3
Analista de QA - Júnior,Mobicare,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=483ecf39618ee84f&fccid=f77ebbdbdee1ef5e&vjs=3
